study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	base_count	experiment_title	study_title	run_alias	fastq_bytes	fastq_md5	fastq_ftp	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_galaxy	sample_alias	sample_title
PRJEB6609	SAMEA2622393	ERS492245	ERX1782394	ERR1712115	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	154266670	28402175590	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AEXAOSW_7_C2AVGACXX.IND2	13060383034;12136968318	114d0ca08848d477e3c699a303078a06;be3fcef85e9a25b39f638aab9bfd18c2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1712115/ERR1712115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1712115/ERR1712115_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AEXAOSW_7_1_C2AVGACXX.IND2_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AEXAOSW_7_2_C2AVGACXX.IND2_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AEXAOSW_7_1_C2AVGACXX.IND2_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AEXAOSW_7_2_C2AVGACXX.IND2_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1712115	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1712115		TARA_N000001754	TARA_20110521T1227Z_110_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001754
PRJEB6609	SAMEA2657059	ERS487930	ERX1782335	ERR1712116	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	48982555	8283677417	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AXFAOSW_1_C16GEACXX.IND8	3101409899;2826560516	95cd5c8adb6da2c182b9b78c360f1257;fc54cbe0f5b4832f5ee449e79a29802f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1712116/ERR1712116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1712116/ERR1712116_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AXFAOSW_1_1_C16GEACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AXFAOSW_1_2_C16GEACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AXFAOSW_1_1_C16GEACXX.IND8_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AXFAOSW_1_2_C16GEACXX.IND8_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1712116	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1712116		TARA_X000000357	TARA_20090915T1500Z_004_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_X000000357
PRJEB6609	SAMEA2732135	ERS493237	ERX1782428	ERR1712117	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	153189814	27518712455	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_BFBAOSW_6_C2EUGACXX.IND6	13052023281;11947313746	9e9a1c2e17d421c19e13f3aa015bde19;47c28e6f60eea1cf0b83f8ee71861a11	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1712117/ERR1712117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1712117/ERR1712117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BFBAOSW_6_1_C2EUGACXX.IND6_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BFBAOSW_6_2_C2EUGACXX.IND6_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BFBAOSW_6_1_C2EUGACXX.IND6_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BFBAOSW_6_2_C2EUGACXX.IND6_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1712117	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1712117		TARA_N000002360	TARA_20110930T0225Z_131_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000002360
PRJEB6609	SAMEA2622661	ERS492651	ERX1782384	ERR1712118	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	148887100	25260326348	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_ABXAOSW_1_C192VACXX.IND4	12002021287;10786478286	fe939e884af44149b6322ab7adf10e9c;f8d47c099a8705d16d71b01aa2c7ccae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1712118/ERR1712118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1712118/ERR1712118_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ABXAOSW_1_1_C192VACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ABXAOSW_1_2_C192VACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ABXAOSW_1_1_C192VACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ABXAOSW_1_2_C192VACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1712118	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1712118		TARA_N000001938	TARA_20110726T1710Z_122_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000001938
PRJEB6609	SAMEA2621055	ERS490314	ERX1782432	ERR1712119	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	41761141	7384757740	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_ABLAOSW_2_D0KDVACXX.IND11	3633232572;3259575372	02fd3a9b1265e073cd842b20d371dc9a;9cb833575023048a36086604ee1cb9c1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1712119/ERR1712119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1712119/ERR1712119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ABLAOSW_2_1_D0KDVACXX.IND11_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ABLAOSW_2_2_D0KDVACXX.IND11_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ABLAOSW_2_1_D0KDVACXX.IND11_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ABLAOSW_2_2_D0KDVACXX.IND11_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1712119	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1712119		TARA_N000000703	TARA_20100914T1330Z_068_EVENT_PUMP_P_D_(50 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000703
PRJEB6609	SAMEA2732729	ERS493270	ERX1782329	ERR1712120	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	40016817	7065828645	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_BERAOSW_7_C0Y8HACXX.IND1	3050448080;3000018063	ffe530de0c4536c240a09f1207c57f58;ceb4c6eda5290d40bd4aab8fe65ff50a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1712120/ERR1712120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1712120/ERR1712120_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BERAOSW_7_1_C0Y8HACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BERAOSW_7_2_C0Y8HACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BERAOSW_7_1_C0Y8HACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BERAOSW_7_2_C0Y8HACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1712120	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1712120		TARA_N000002366	TARA_20110930T2058Z_131_EVENT_NET_N1+N2_D_(110 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000002366
PRJEB6609	SAMEA2657020	ERS489574	ERX1782309	ERR1712121	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	157867426	27163082228	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_BAEAOSW_5_D1N1MACXX.IND11	13317176405;11915029583	d38ec05f12ef6e8c3579c72f9056e0e7;9d56f3223e48cbbbcc04eb48a9c6b998	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1712121/ERR1712121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1712121/ERR1712121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BAEAOSW_5_1_D1N1MACXX.IND11_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BAEAOSW_5_2_D1N1MACXX.IND11_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BAEAOSW_5_1_D1N1MACXX.IND11_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BAEAOSW_5_2_D1N1MACXX.IND11_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1712121	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1712121		TARA_N000000585	TARA_20100517T1005Z_052_EVENT_NET_N1+N2_D_(75 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000585
PRJEB6609	SAMEA2656960	ERS488712	ERX1782141	ERR1712122	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	115697404	19720634284	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AKMAOSW_8_D2C59ACXX.IND1	8055328096;7815643539	0a4557dd9934a462306edba9d8685988;5393de0f285b98df21f745f3667482de	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1712122/ERR1712122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1712122/ERR1712122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AKMAOSW_8_1_D2C59ACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AKMAOSW_8_2_D2C59ACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AKMAOSW_8_1_D2C59ACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AKMAOSW_8_2_D2C59ACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1712122	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1712122		TARA_N000000311	TARA_20100312T0606Z_036_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000311
PRJEB6609	SAMEA2656994	ERS490905	ERX1782230	ERR1712123	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	44821665	8403519636	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AQXAOSW_3_C0YDFACXX.IND7	3754594505;3645207651	cfc04c93d9883271c41e2b4048db8cdf;dae5882c17cc4d08905aabcc12e0af3b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1712123/ERR1712123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1712123/ERR1712123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQXAOSW_3_1_C0YDFACXX.IND7_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQXAOSW_3_2_C0YDFACXX.IND7_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQXAOSW_3_1_C0YDFACXX.IND7_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQXAOSW_3_2_C0YDFACXX.IND7_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1712123	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1712123		TARA_N000001398	TARA_20101206T1134Z_082_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001398
PRJEB6609	SAMEA2622417	ERS492279	ERX1782455	ERR1712124	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	37642873	6724522626	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AFDAOSW_1_C2420ACXX.IND4	2936701503;2600004934	c3c188e3dd8ff3efe73896103a83f6f0;07539a249440b368c5123ffd1b5a4503	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1712124/ERR1712124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1712124/ERR1712124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AFDAOSW_1_1_C2420ACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AFDAOSW_1_2_C2420ACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AFDAOSW_1_1_C2420ACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AFDAOSW_1_2_C2420ACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/004/ERR1712124	ftp.sra.ebi.ac.uk/vol1/err/ERR171/004/ERR1712124		TARA_N000001752	TARA_20110521T2100Z_110_EVENT_PUMP_P_D_(50 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000001752
PRJEB6609	SAMEA2620846	ERS490020	ERX1782133	ERR1712125	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	38837017	6997978675	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_BAAAOSW_7_C07BFACXX.IND5	3116779540;3008923179	b73b8f95d7bbe311552685cb024746a8;e4a1bd8bfec0945527a68290f7ecdaa5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1712125/ERR1712125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1712125/ERR1712125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BAAAOSW_7_1_C07BFACXX.IND5_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BAAAOSW_7_2_C07BFACXX.IND5_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BAAAOSW_7_1_C07BFACXX.IND5_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_BAAAOSW_7_2_C07BFACXX.IND5_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1712125	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1712125		TARA_N000000531	TARA_20100708T0621Z_064_EVENT_PUMP_P_D_(65 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000000531
PRJEB6609	SAMEA2656964	ERS488915	ERX1782459	ERR1712126	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	160270371	28609238276	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_ALIAOSW_1_C2AVLACXX.IND11	13194809105;11796451962	363660e72d78d6102e30c99716002c49;2ff8f0499f35771a217a35f480df363d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1712126/ERR1712126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1712126/ERR1712126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALIAOSW_1_1_C2AVLACXX.IND11_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALIAOSW_1_2_C2AVLACXX.IND11_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALIAOSW_1_1_C2AVLACXX.IND11_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_ALIAOSW_1_2_C2AVLACXX.IND11_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1712126	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1712126		TARA_N000000014	TARA_20100318T1041Z_039_EVENT_NET_N1+N2_D_(25 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000014
PRJEB6609	SAMEA2621468	ERS490975	ERX1782312	ERR1712127	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	126599983	23603227666	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_CGGAOSW_1_C2FUBACXX.IND3	10328763381;9661882129	a73877ac9ba9954d58d1fa438fa76cef;d647d908e95639a7d683e4364a5a7f98	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1712127/ERR1712127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1712127/ERR1712127_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_CGGAOSW_1_1_C2FUBACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_CGGAOSW_1_2_C2FUBACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_CGGAOSW_1_1_C2FUBACXX.IND3_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_CGGAOSW_1_2_C2FUBACXX.IND3_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1712127	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1712127		TARA_N000001372	TARA_20101216T1158Z_083_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000001372
PRJEB6609	SAMEA2657035	ERS490922	ERX1782449	ERR1712128	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	33260934	6064459231	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AQQAOSW_3_D14HTACXX.IND1	2959988955;2701180894	526db8ff0b06a2b94fd5c2919980579c;34b96ecb26a7a37b645e89a39ff13c27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1712128/ERR1712128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1712128/ERR1712128_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQQAOSW_3_1_D14HTACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQQAOSW_3_2_D14HTACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQQAOSW_3_1_D14HTACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQQAOSW_3_2_D14HTACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1712128	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1712128		TARA_N000001400	TARA_20101206T1720Z_082_EVENT_NET_N1+N2_D_(30 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001400
PRJEB6609	SAMEA2657078	ERS490911	ERX1782320	ERR1712129	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	131416426	22470480235	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AQVAOSW_2_D1EVBACXX.IND1	10171909326;8669813277	1767d77b20cbb69c003e1972b20eb8f0;1dfcee206e230494b4c9ef8e2343499d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1712129/ERR1712129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1712129/ERR1712129_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQVAOSW_2_1_D1EVBACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQVAOSW_2_2_D1EVBACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQVAOSW_2_1_D1EVBACXX.IND1_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AQVAOSW_2_2_D1EVBACXX.IND1_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1712129	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1712129		TARA_N000001394	TARA_20101206T1232Z_082_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000001394
PRJEB6609	SAMEA2620907	ERS490102	ERX1782328	ERR1712130	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	165102164	30788291693	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_CHTAOSW_6_C1CKPACXX.IND10	13153443604;12262018936	749cee494d8cf1f00c7c98ba0f10368b;c66f3181c35bf2a7696a084edf0d6e23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1712130/ERR1712130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1712130/ERR1712130_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_CHTAOSW_6_1_C1CKPACXX.IND10_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_CHTAOSW_6_2_C1CKPACXX.IND10_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_CHTAOSW_6_1_C1CKPACXX.IND10_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_CHTAOSW_6_2_C1CKPACXX.IND10_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1712130	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1712130		TARA_N000000939	TARA_20100712T1106Z_065_Combined-EVENTS_CAST_MB_D_(30 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000000939
PRJEB6609	SAMEA2657016	ERS489065	ERX1782429	ERR1712131	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	128412290	22592267653	Illumina HiSeq 2000 paired end sequencing; environmental samples	Metatranscriptome sequencing from  samples corresponding to size fractions for protists.	run_ARC_AMKAOSW_5_D2C6KACXX.IND4	9828846848;8992690936	e31d7974849d10cbcfd9666996bc9145;8e08ee174a1ff1246599ae5717ad6c17	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1712131/ERR1712131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1712131/ERR1712131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMKAOSW_5_1_D2C6KACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMKAOSW_5_2_D2C6KACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMKAOSW_5_1_D2C6KACXX.IND4_noribo_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA741/ERA741617/fastq/ARC_AMKAOSW_5_2_D2C6KACXX.IND4_noribo_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1712131	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1712131		TARA_N000000077	TARA_20100330T0532Z_041_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000077
