study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	fastq_md5	fastq_ftp	submitted_bytes	sra_ftp	cram_index_ftp	cram_index_galaxy	sample_title
PRJEB6609	SAMEA2621498	ERS491012	ERX1782371	ERR1711865	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	146705638	85a9465e691dde871f13fcb74c7c4b82;01e49c7e9338fb3231bf7430eaf88b4f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711865/ERR1711865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711865/ERR1711865_2.fastq.gz	11228342551;10157408845	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1711865			TARA_20110103T1105Z_084_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(100L)_W0.8-5_TARA_N000001438
PRJEB6609	SAMEA2730799	ERS489481	ERX1782407	ERR1711866	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	11573166	a8470f6b2080984a582bc0c2954ae85e;800d0fadc89026a30eda9fcf1b731d14	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711866/ERR1711866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711866/ERR1711866_2.fastq.gz	856960963;807939473	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1711866			TARA_20100511T0723Z_051_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000000185
PRJEB6609	SAMEA2731900	ERS493076	ERX1782212	ERR1711867	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	114058232	a222a38fa773922114fde4f352c3c2e8;f36970b8fb056c51e480b896942da65a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711867/ERR1711867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711867/ERR1711867_2.fastq.gz	8377297522;8517313235	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1711867			TARA_20110905T0229Z_128_EVENT_NET_N1+N2_D_(40 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002303
PRJEB6609	SAMEA2620139	ERS488980	ERX1782288	ERR1711868	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	46225614	03074156bcc3456ae68c6e41e56fb3f4;999d79c454a922766878c535da665dd9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711868/ERR1711868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711868/ERR1711868_2.fastq.gz	3561325180;3191282378	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1711868			TARA_20100322T0710Z_040_EVENT_CAST_B6_Z_(25 m)_PROT_NUC-RNA(100L)_W3->_TARA_N000000064
PRJEB6609	SAMEA2622661	ERS492651	ERX1782327	ERR1711869	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	43143249	4604c0995e48c65cfbe057d5388271ea;42f89daa7b9f3af4b50cafe774358acc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711869/ERR1711869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711869/ERR1711869_2.fastq.gz	3258779692;2881492914	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1711869			TARA_20110726T1710Z_122_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000001938
PRJEB6609	SAMEA2732954	ERS490583	ERX1782143	ERR1711870	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	40318058	8f9e793d845a8bddd8e7e5944a96b5cc;e48c3e5d277c0ef491adc1d02134ea1d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711870/ERR1711870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711870/ERR1711870_2.fastq.gz	3323278083;3045392687	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711870			TARA_20101016T1245Z_076_EVENT_NET_N1_S_(5 m)_PROT_NUC-RNA(1L)_N5-20_TARA_N000000864
PRJEB6609	SAMEA2620010	ERS488809	ERX1782471	ERR1711871	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	123081199	641b936738f5274696da7682220f42b5;0244334ea19e78a4c9d6e849e7475421	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711871/ERR1711871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711871/ERR1711871_2.fastq.gz	10703401061;10091610983	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711871			TARA_20100315T0335Z_038_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000000029
PRJEB6609	SAMEA2731026	ERS489466	ERX1782289	ERR1711872	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	176564803	b57a474f954b5e66cbe61af3a0ce7312;ce94ff19dc8a96ac3dcf42728cfd3c02	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711872/ERR1711872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711872/ERR1711872_2.fastq.gz	13744652886;12838173654	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711872			TARA_20100511T0405Z_051_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000000189
PRJEB6609	SAMEA2732604	ERS493652	ERX1782165	ERR1711873	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	130997008	590b480db609a52aa3fc5b1d7fc19e51;9cc2b1c93f5b02e3d9464d559099c4ea	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711873/ERR1711873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711873/ERR1711873_2.fastq.gz	9669811786;9300472371	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711873			TARA_20111202T1511Z_137_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002931
PRJEB6609	SAMEA2619725	ERS488412	ERX1782416	ERR1711874	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	140563438	fa0089e871a26fd81588c0aecd4e8585;c9c1d609ee54461a40443eab3ac7eec3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711874/ERR1711874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711874/ERR1711874_2.fastq.gz	10159266599;9160773879	ftp.sra.ebi.ac.uk/vol1/err/ERR171/004/ERR1711874			TARA_20091112T1409Z_020_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_A100000761
PRJEB6609	SAMEA2657097	ERS492000	ERX1782130	ERR1711875	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	40772506	77e0cd0904ec7907045ef3766e717635;15c51083485ea53f57f9bea1654343f5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711875/ERR1711875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711875/ERR1711875_2.fastq.gz	2799515427;2785872535	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1711875			TARA_20110422T1920Z_102_EVENT_NET_N1+N2_D_(40 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000001664
PRJEB6609	SAMEA2657067	ERS490683	ERX1782237	ERR1711876	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	32916233	f2e50f3f5276db373b6b9ad6b0923ac0;752814f8d8484253c903e6c1f5fbc960	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711876/ERR1711876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711876/ERR1711876_2.fastq.gz	2457332850;2318288448	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1711876			TARA_20101104T1322Z_078_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000001510
PRJEB6609	SAMEA2732453	ERS493776	ERX1782367	ERR1711877	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	32915277	c51821c44924f30a649cbc0078ce2fe3;ca500b0252dae928721f0de7c6187361	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711877/ERR1711877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711877/ERR1711877_2.fastq.gz	2243178614;2010907121	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1711877			TARA_20111210T1934Z_138_EVENT_NET_N1_S_(5 m)_PROT_NUC-DNA(1L)_N5-20_TARA_N000003003
PRJEB6609	SAMEA2656968	ERS489963	ERX1782276	ERR1711878	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	43347506	c429a3fb87873674825c046a9d573fd1;04479f8b29e3a1cf88c0a39b118b4a5f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711878/ERR1711878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711878/ERR1711878_2.fastq.gz	3134858971;2895160089	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1711878			TARA_20100707T0753Z_064_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000526
PRJEB6609	SAMEA2622012	ERS491721	ERX1782337	ERR1711879	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	167208247	8650430fab1d66d1c715ddda15061352;990be99c98378866a002959298607627	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711879/ERR1711879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711879/ERR1711879_2.fastq.gz	12539679160;11360691297	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1711879			TARA_20110403T1344Z_098_EVENT_PUMP_P_S_(5 m)_PROT_NUC-RNA(1L)_W5-20_TARA_N000001578
PRJEB6609	SAMEA2730747	ERS488908	ERX1782316	ERR1711880	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	8241935	36c6999fefa4fac79525cc3a9f431cea;bb7f276945a29cfb240f0f2c2f35db39	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711880/ERR1711880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711880/ERR1711880_2.fastq.gz	634685663;595124337	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711880			TARA_20100318T0956Z_039_EVENT_CONTROL_n/a_n/a_(n/a m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000000052
PRJEB6609	SAMEA2623035	ERS493262	ERX1782140	ERR1711881	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	128087923	faf1b8416b2e895662dbc99fa2b266d7;d6ac7f9cb1ca12bdd3123f78d93c7fd7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711881/ERR1711881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711881/ERR1711881_2.fastq.gz	10523820889;9092378521	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711881			TARA_20110930T1738Z_131_Combined-EVENTS_CAST_MB_D_(110 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000002350
PRJEB6609	SAMEA2622774	ERS492829	ERX1782350	ERR1711882	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	18962937	d4a6ba388b08217f05d7d822972d2962;f81591711f90dd4c062d58721a054c06	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711882/ERR1711882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711882/ERR1711882_2.fastq.gz	1427977299;1301714999	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711882			TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000002039
PRJEB6609	SAMEA2623090	ERS493351	ERX1782099	ERR1711883	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	8631001	3fcbab27f41f6d4c9d13584093982bda;09f887ba98dc98981bd07715078ef278	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711883/ERR1711883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711883/ERR1711883_2.fastq.gz	666493290;659674120	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711883			TARA_20111005T0101Z_132_Combined-EVENTS_CAST_MB_D_(115 m)_PROT_NUC-DNA(100L)_W0.8->_TARA_N000002422
PRJEB6609	SAMEA2657086	ERS491854	ERX1782303	ERR1711884	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	150263051	4f6ab4b93c57058db70abc5d382a686a;288b0c19c313caf69744754329727b16	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711884/ERR1711884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1711884/ERR1711884_2.fastq.gz	11281784839;11209448886	ftp.sra.ebi.ac.uk/vol1/err/ERR171/004/ERR1711884			TARA_20110415T1327Z_100_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N20-180_TARA_N000001616
PRJEB6609	SAMEA2622490	ERS492369	ERX1782125	ERR1711885	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	44031237	68ee3daa52f81f075530b6c15c9b2053;4917169f2f7723663f8b9ab9a06091b7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711885/ERR1711885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1711885/ERR1711885_2.fastq.gz	3168929034;2946842730	ftp.sra.ebi.ac.uk/vol1/err/ERR171/005/ERR1711885			TARA_20110531T2030Z_111_Combined-EVENTS_CAST_MB_D_(90 m)_PROT_NUC-DNA(1L)_W5-20_TARA_N000001820
PRJEB6609	SAMEA2622391	ERS492243	ERX1782144	ERR1711886	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	8181906	70064601eb428182971ddc4a1ba5b5d4;bab2874dadf7d8c65024878ca9e6c416	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711886/ERR1711886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/006/ERR1711886/ERR1711886_2.fastq.gz	628035183;628138321	ftp.sra.ebi.ac.uk/vol1/err/ERR171/006/ERR1711886			TARA_20110521T1227Z_110_EVENT_PUMP_P_S_(5 m)_PROT_NUC-DNA(100L)_W0.8-5_TARA_N000001750
PRJEB6609	SAMEA2621280	ERS490699	ERX1782150	ERR1711887	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	39502161	18b7cfbea9a64046fae550826ea5e679;e16933531fde2b782f1e6e9a3b0fe5c0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711887/ERR1711887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1711887/ERR1711887_2.fastq.gz	3182989705;3001972681	ftp.sra.ebi.ac.uk/vol1/err/ERR171/007/ERR1711887			TARA_20101104T1816Z_078_Combined-EVENTS_CAST_MB_D_(120 m)_PROT_NUC-RNA(100L)_W0.8->_TARA_N000000618
PRJEB6609	SAMEA2657042	ERS490708	ERX1782294	ERR1711888	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	137963566	4968fefd86e60591f70339d1f1527569;61b05e81169a35be8115af4daa8e1adf	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711888/ERR1711888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1711888/ERR1711888_2.fastq.gz	10088938253;10316262980	ftp.sra.ebi.ac.uk/vol1/err/ERR171/008/ERR1711888			TARA_20101104T1837Z_078_EVENT_NET_N1+N2_D_(120 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001516
PRJEB6609	SAMEA2732594	ERS493617	ERX1782463	ERR1711889	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	8829547	077b544ecee5f5242945b314d52685ba;5705d774ed38649a2cf965f79ec4c977	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711889/ERR1711889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1711889/ERR1711889_2.fastq.gz	660127755;631672363	ftp.sra.ebi.ac.uk/vol1/err/ERR171/009/ERR1711889			TARA_20111130T1716Z_136_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-DNA(1L)_N180-2000_TARA_N000002967
PRJEB6609	SAMEA2620172	ERS489013	ERX1782259	ERR1711890	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	48942565	fe278f49ce3319dab096d21261ce7350;409551bb2b39e8fc739b6b20ff4d7c29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711890/ERR1711890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1711890/ERR1711890_2.fastq.gz	3888383215;3337516418	ftp.sra.ebi.ac.uk/vol1/err/ERR171/000/ERR1711890			TARA_20100322T1313Z_040_EVENT_CAST_B6_Z_(105 m)_PROT_NUC-RNA(100L)_W3->_TARA_N000000067
PRJEB6609	SAMEA2657042	ERS490708	ERX1782107	ERR1711891	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	29820588	5b448c58b9d1300aaa400222f54a8aad;43ff974a26815ae1da8cb612162b65e1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711891/ERR1711891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1711891/ERR1711891_2.fastq.gz	2300390915;2291809439	ftp.sra.ebi.ac.uk/vol1/err/ERR171/001/ERR1711891			TARA_20101104T1837Z_078_EVENT_NET_N1+N2_D_(120 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001516
PRJEB6609	SAMEA2656994	ERS490905	ERX1782120	ERR1711892	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	176872302	57f05026f3df286b7ce7abe5b365efd1;80782b60ab014b0639eae9e29063eeb5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711892/ERR1711892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1711892/ERR1711892_2.fastq.gz	14688327347;13830044995	ftp.sra.ebi.ac.uk/vol1/err/ERR171/002/ERR1711892			TARA_20101206T1134Z_082_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N180-2000_TARA_N000001398
PRJEB6609	SAMEA2730898	ERS489289	ERX1782277	ERR1711893	408172	marine metagenome	Illumina HiSeq 2000	PAIRED	149813512	59d51d5a56492f24f1ed04df22588767;39e129ddbbbf30ce473b4ca83ff64c77	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711893/ERR1711893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1711893/ERR1711893_2.fastq.gz	11292270876;11354153865	ftp.sra.ebi.ac.uk/vol1/err/ERR171/003/ERR1711893			TARA_20100415T0215Z_046_EVENT_NET_N1+N2_S_(5 m)_PROT_NUC-RNA(1L)_N20-180_TARA_N000000269
